name,field,subcategory,mbti
Jessica DiCicco,Entertainment,Pengisi Suara,ESFJ
Jessica Gee-George,Entertainment,Pengisi Suara,ENTP
Jessica Henwick,Entertainment,Aktor/Aktres,INFJ
Jessica Kirson,Entertainment,Komedian,ENTP
Jessica Lange,Entertainment,Aktor/Aktres,ENFJ
Jessica Rothe,Entertainment,Aktor/Aktres,ENFP
Jessica Sula,Entertainment,Aktor/Aktres,ISFP
Jessica Szohr,Entertainment,Aktor/Aktres,ENFP
Jessica Veranda,Entertainment,Aktor/Aktres,INFJ
Jessica Walter,Entertainment,Aktor/Aktres,INTJ
Jessica Weaver,Entertainment,Model,ENFP
Jessie Buckley,Entertainment,Aktor/Aktres,ENTP
Jessie Ennis,Entertainment,Aktor/Aktres,ESFJ
Jessie Flower,Entertainment,Pengisi Suara,ESFP
Jessie Mei Li,Entertainment,Aktor/Aktres,ESFJ
Jessie Mueller,Entertainment,Aktor/Aktres,ESTP
Jessie Pavelka,Entertainment,Pembawa Acara,ENTJ
Jessie T. Usher,Entertainment,Aktor/Aktres,ESFP
Jesuita Barbosa,Entertainment,Aktor/Aktres,INFP
Jesús Calleja,Entertainment,Pembawa Acara,ENFJ
Jesus Trejo,Entertainment,Komedian,ENFP
Jet Li,Entertainment,Aktor/Aktres,ENFJ
Jewel Staite,Entertainment,Aktor/Aktres,INFJ
Jhong Hilario,Entertainment,Aktor/Aktres,ESFJ
Ji Chang-wook,Entertainment,Aktor/Aktres,INFP
Ji Soo,Entertainment,Aktor/Aktres,ESTP
Jiang Chao,Entertainment,Aktor/Aktres,ESFP
Jiang Shuying,Entertainment,Aktor/Aktres,ESTJ
Jiang Wen,Entertainment,Sutradara Film,ENTP
Jiang Zhenyu,Entertainment,Aktor/Aktres,ISFJ
Jibola,Entertainment,Komedian,ISFP
Jillian Michaels,Entertainment,Pembawa Acara,ESTJ
Jillian Shea Spaeder,Entertainment,Aktor/Aktres,ISFP
Jim Belushi,Entertainment,Aktor/Aktres,ESTP
Jim Carrey,Entertainment,Aktor/Aktres,ENFP
Jim Caviezel,Entertainment,Aktor/Aktres,INFJ
Jim Cummings,Entertainment,Pengisi Suara,INFP
Jim Gaffigan,Entertainment,Komedian,ENTP
Jim Henson,Entertainment,Sutradara Film,INFP
Jim Howick,Entertainment,Aktor/Aktres,ENFP
Jim Jarmusch,Entertainment,Sutradara Film,INFP
Jim Jefferies,Entertainment,Komedian,ESTP
Jim Lange,Entertainment,Pembawa Acara,INTP
Jim Meskimen,Entertainment,Pengisi Suara,ISFP
Jim Nabors,Entertainment,Aktor/Aktres,ENFP
Jim Norton,Entertainment,Komedian,ENFP
Jim Parsons,Entertainment,Aktor/Aktres,INTP
Jim Povolo,Entertainment,Aktor/Aktres,ISTP
Jim Rash,Entertainment,Aktor/Aktres,ENFP
Jim Varney,Entertainment,Aktor/Aktres,ENFP
Jimena Barón,Entertainment,Aktor/Aktres,ESTP
Jiminy Glick,Entertainment,Pembawa Acara,ESTP
Jimmi Simpson,Entertainment,Aktor/Aktres,ENTP
Jimmy Carr,Entertainment,Komedian,ENTJ
Jimmy de Ville,Entertainment,Pembawa Acara,ESTP
Jimmy Fallon,Entertainment,Pembawa Acara,ESFJ
Jimmy Jitaraphol Potiwihok,Entertainment,Aktor/Aktres,ESTP
Jimmy Kimmel,Entertainment,Pembawa Acara,ESFP
Jimmy O. Yang,Entertainment,Komedian,ENFP
Jimmy Pardo,Entertainment,Komedian,ENFP
Jimmy Savile,Entertainment,Pembawa Acara,ENTJ
Jimmy Smits,Entertainment,Aktor/Aktres,ESFJ
Jin Ogasawara,Entertainment,Pengisi Suara,ENFP
Jing Tian,Entertainment,Aktor/Aktres,ISFJ
Jirakit Thawornwong,Entertainment,Aktor/Aktres,ENTP
Jirawat Sutivanichsak,Entertainment,Aktor/Aktres,INFJ
Jirayu Tansakul (ก๊อต จิรายุ),Entertainment,Aktor/Aktres,INFJ
"Jiří Martínek ""Doktor Vševěd""",Entertainment,Pembawa Acara,ISTJ
JJ Niemann,Entertainment,Aktor/Aktres,ESFP
Jo Bo-ah,Entertainment,Aktor/Aktres,INFJ
Jo Brand,Entertainment,Komedian,ESTP
Jo In-sung,Entertainment,Aktor/Aktres,INFJ
Jo Jung Suk,Entertainment,Aktor/Aktres,ENTP
Jo Koy,Entertainment,Komedian,ENTP
Jô Soares,Entertainment,Pembawa Acara,ENTP
Jo Squillo,Entertainment,Pembawa Acara,ESTP
Joan Chen,Entertainment,Aktor/Aktres,INFJ
Joan Collins,Entertainment,Aktor/Aktres,ESFJ
Joan Crawford,Entertainment,Industri Film,ESTJ
Joan Cusack,Entertainment,Aktor/Aktres,ESTJ
Joan Rivers,Entertainment,Pembawa Acara,ENTP
Joana Santos,Entertainment,Aktor/Aktres,ISTP
Joanna Hausmann,Entertainment,Pembawa Acara,ENFP
Joanna Krupa,Entertainment,Model,ESFJ
Joanna Kulig,Entertainment,Aktor/Aktres,ENFP
Joanna Lumley,Entertainment,Aktor/Aktres,ESFJ
Joanne Woodward,Entertainment,Industri Film,INTJ
João Baião,Entertainment,Pembawa Acara,ENFP
João Baldasserini,Entertainment,Aktor/Aktres,ESFP
João Catarré,Entertainment,Aktor/Aktres,ISTP
João César Monteiro,Entertainment,Sutradara Film,ENTP
João Emanuel Carneiro,Entertainment,Film & TV Crew,INFP
João Guilherme,Entertainment,Aktor/Aktres,ESTP
João Kléber,Entertainment,Pembawa Acara,ESFP
João Manzarra,Entertainment,Pembawa Acara,ENFP
João Vicente de Castro,Entertainment,Aktor/Aktres,ENFP
Joaquín Bondoni,Entertainment,Aktor/Aktres,ISFP
Joaquín Cosío,Entertainment,Aktor/Aktres,ENFJ
Joaquin Phoenix,Entertainment,Aktor/Aktres,INFP
Joaquín Prat Sandberg,Entertainment,Pembawa Acara,ENFJ
Jochem Myjer,Entertainment,Komedian,ENFP
Jodi Benson,Entertainment,Aktor/Aktres,ESFJ
Jodi Sta. Maria,Entertainment,Aktor/Aktres,ISFJ
Jodie Comer,Entertainment,Aktor/Aktres,ISFP
Jodie Foster,Entertainment,Aktor/Aktres,INTJ
Jodie Whittaker,Entertainment,Aktor/Aktres,ENFP
Jody Hill,Entertainment,Sutradara Film,ENFP
Joe “lol ik”,Entertainment,Komedian,ESTP
Joe Alwyn,Entertainment,Aktor/Aktres,ISFP
Joe Berlinger,Entertainment,Sutradara Film,INTP
Joe Budden,Entertainment,Pembawa Acara,ENFP
Joe Cole,Entertainment,Aktor/Aktres,ESTP
Joe DeRosa,Entertainment,Komedian,INFP
Joe E. Brown,Entertainment,Industri Film,ENFP
Joe Johnston,Entertainment,Sutradara Film,ISFJ
Joe Keery,Entertainment,Aktor/Aktres,ISFP
Joe Kenda,Entertainment,Pembawa Acara,ISTJ
Joe Locke,Entertainment,Aktor/Aktres,ISTJ
Joe Manganiello,Entertainment,Aktor/Aktres,ISTP
Joe Mantegna,Entertainment,Aktor/Aktres,ENTJ
Joe Mazzello,Entertainment,Aktor/Aktres,ENFP
Joe Ochman,Entertainment,Pengisi Suara,ISFJ
Joe Odagiri,Entertainment,Aktor/Aktres,ENFP
Joe Pantoliano,Entertainment,Aktor/Aktres,ENFP
Joe Pera,Entertainment,Komedian,INFP
Joe Pesci,Entertainment,Aktor/Aktres,ISTP
Joe Pytka,Entertainment,Sutradara Film,ESTJ
Joe Russo,Entertainment,Sutradara Film,ENTJ
Joe Scarborough,Entertainment,Pembawa Acara,ENTJ
Joe Serafini,Entertainment,Aktor/Aktres,INFP
Joe Taslim,Entertainment,Aktor/Aktres,ESTP
Joe Thomas,Entertainment,Aktor/Aktres,INTP
Joe Wilkinson,Entertainment,Komedian,ENFP
Joe Wright,Entertainment,Sutradara Film,INFP
Joe Zieja,Entertainment,Pengisi Suara,ESTJ
Joel Coen,Entertainment,Sutradara Film,INTJ
Joel Courtney,Entertainment,Aktor/Aktres,ESFP
Joel Crawford,Entertainment,Sutradara Film,INFJ
Joel Edgerton,Entertainment,Aktor/Aktres,ISFP
Joel Fry,Entertainment,Aktor/Aktres,ISFP
Joel Grey,Entertainment,Aktor/Aktres,ENTP
Joel Haver,Entertainment,Sutradara Film,INFP
Joel Kinnaman,Entertainment,Aktor/Aktres,ISTP
Joel McHale,Entertainment,Komedian,ENTP
Joel Schumacher,Entertainment,Sutradara Film,ENFP
Joelle Mardinian,Entertainment,Pembawa Acara,ENFJ
"Joey ""CoCo"" Diaz",Entertainment,Komedian,ESTJ
Joey Batey,Entertainment,Aktor/Aktres,ENFP
Joey Bragg,Entertainment,Komedian,ENTP
Joey King,Entertainment,Aktor/Aktres,ENFP
Joey Richter,Entertainment,Aktor/Aktres,ENFP
Joey Wong,Entertainment,Aktor/Aktres,ISFP
Johan Derksen,Entertainment,Pembawa Acara,ISTP
Johan Rheborg,Entertainment,Komedian,ENTP
John Abraham,Entertainment,Aktor/Aktres,ISTJ
John Belushi,Entertainment,Aktor/Aktres,ENTP
John Boyega,Entertainment,Aktor/Aktres,ENFP
John Bubniak,Entertainment,Aktor/Aktres,ISFP
John C. Reilly,Entertainment,Aktor/Aktres,ENFP
John Cameron Mitchell,Entertainment,Aktor/Aktres,ENFP
John Candy,Entertainment,Aktor/Aktres,ENFP
John Carpenter,Entertainment,Sutradara Film,ISTP
John Cassavetes,Entertainment,Sutradara Film,ENFP
John Cazale,Entertainment,Aktor/Aktres,ISFJ
John Cho,Entertainment,Aktor/Aktres,ENTP
John Cleese,Entertainment,Komedian,ENTP
John Crist,Entertainment,Komedian,ENTP
John Cusack,Entertainment,Aktor/Aktres,INFP
John David Washington,Entertainment,Aktor/Aktres,ENFP
John de Lancie,Entertainment,Aktor/Aktres,ENTP
John DeMita,Entertainment,Pengisi Suara,INFP
John DiMaggio,Entertainment,Aktor/Aktres,ESTP
John Dunsworth,Entertainment,Aktor/Aktres,ENTP
John Ford,Entertainment,Sutradara Film,ISTJ
John Francis Daley,Entertainment,Sutradara Film,ENFP
John Frankenheimer,Entertainment,Sutradara Film,ENTP
John Goodman,Entertainment,Aktor/Aktres,ESFP
John Hannah,Entertainment,Aktor/Aktres,ENTP
John Hawkes,Entertainment,Aktor/Aktres,INTP
John Hodgman,Entertainment,Aktor/Aktres,INTJ
John Hughes,Entertainment,Sutradara Film,INFP
John Hurt,Entertainment,Aktor/Aktres,INFP
John Krasinski,Entertainment,Aktor/Aktres,ENFP
John Landis,Entertainment,Sutradara Film,ENTP
John Leguizamo,Entertainment,Aktor/Aktres,ENTP
John Lithgow,Entertainment,Aktor/Aktres,ENFJ
John Lone,Entertainment,Aktor/Aktres,INFJ
John Malkovich,Entertainment,Aktor/Aktres,INTP
John McTiernan,Entertainment,Sutradara Film,ISTJ
John Milius,Entertainment,Sutradara Film,ENTP
John Mulaney,Entertainment,Komedian,ENFP
John O’Hurley,Entertainment,Aktor/Aktres,ENTJ
John Oliver,Entertainment,Pembawa Acara,ENTP
John Paul Tremblay,Entertainment,Aktor/Aktres,ISTP
John Quiñones,Entertainment,Pembawa Acara,ESFJ
John Rhys-Davies,Entertainment,Aktor/Aktres,ISTP
John Ritter,Entertainment,Aktor/Aktres,ENFJ
John Robins,Entertainment,Komedian,ESTJ
John Sayles,Entertainment,Sutradara Film,ISTJ
John Snyder,Entertainment,Pengisi Suara,ISTP
John Stamos,Entertainment,Aktor/Aktres,ISFP
John Travolta,Entertainment,Aktor/Aktres,ISFP
John Turturro,Entertainment,Aktor/Aktres,INTJ
John Walsh,Entertainment,Pembawa Acara,INFJ
John Waters,Entertainment,Sutradara Film,ENFP
John Wayne,Entertainment,Industri Film,ESTJ
John Wilson,Entertainment,Film & TV Crew,INFP
John Woo,Entertainment,Sutradara Film,ESFP
Johnny Carson,Entertainment,Pembawa Acara,ISFJ
Johnny Depp,Entertainment,Aktor/Aktres,INFP
Johnny Galecki,Entertainment,Aktor/Aktres,INFJ
Johnny Yong Bosch,Entertainment,Pengisi Suara,ESFP
Jōji Nakata,Entertainment,Pengisi Suara,ENFP
Jojo Macari,Entertainment,Aktor/Aktres,ENFJ
Joko Winterscheidt,Entertainment,Pembawa Acara,ENFP
Jomquan Laowpetch (จอมขวัญ),Entertainment,Pembawa Acara,ENTP
Jon Bernthal,Entertainment,Aktor/Aktres,ESTP
Jon Cryer,Entertainment,Aktor/Aktres,ENTJ
Jon Favreau,Entertainment,Sutradara Film,ENFJ
Jon Hamm,Entertainment,Aktor/Aktres,ENTP
Jon Heder,Entertainment,Aktor/Aktres,INTP
Jon Kortajarena,Entertainment,Model,ISTP
Jon Lovitz,Entertainment,Aktor/Aktres,ENTP
Jon Matteson,Entertainment,Aktor/Aktres,INFP
Jon Reep,Entertainment,Komedian,ESTP
Jon Richardson,Entertainment,Komedian,ISTJ
Jon St. John,Entertainment,Pengisi Suara,ESFP
Jon Stewart,Entertainment,Pembawa Acara,ENTP
Jon Voight,Entertainment,Aktor/Aktres,ISTJ
Jon Watts,Entertainment,Sutradara Film,ENFP
Jonah Hill,Entertainment,Aktor/Aktres,ENFP
Jonah Scott,Entertainment,Aktor/Aktres,ENFP
Jonas Mekas,Entertainment,Sutradara Film,INFP
Jonathan Azevedo,Entertainment,Aktor/Aktres,ESTP
Jonathan Bailey,Entertainment,Aktor/Aktres,INFP
Jonathan Banks,Entertainment,Aktor/Aktres,ISFP
Jonathan Barak,Entertainment,Komedian,ENTP
Jonathan Brandis,Entertainment,Aktor/Aktres,INFP
Jonathan Cohen,Entertainment,Aktor/Aktres,ENTP
Jonathan Daviss,Entertainment,Aktor/Aktres,ENTP
Jonathan Demme,Entertainment,Sutradara Film,ENFJ
Jonathan Firth,Entertainment,Aktor/Aktres,INTJ
Jonathan Frakes,Entertainment,Aktor/Aktres,ENTP
Jonathan Groff,Entertainment,Aktor/Aktres,ENFJ
Jonathan Majors,Entertainment,Aktor/Aktres,ENFP
Jonathan Nolan,Entertainment,Sutradara Film,INTJ
Jonathan Pryce,Entertainment,Aktor/Aktres,INFJ
Jonathan Rhys Meyers,Entertainment,Aktor/Aktres,ENTP
"Jonathan Ross ""Wossy""",Entertainment,Komedian,ENTP
Jonathan Roumie,Entertainment,Aktor/Aktres,INFJ
Jonathan Scott,Entertainment,Pembawa Acara,ENFP
Jonathan Torrens,Entertainment,Aktor/Aktres,ENFP
Jonny Lee Miller,Entertainment,Aktor/Aktres,ISFJ
Joo Woo-jae,Entertainment,Model,ISTP
Jordan Barrett,Entertainment,Model,ENTJ
Jordan Calloway,Entertainment,Aktor/Aktres,ESTP
Jordan Klepper,Entertainment,Komedian,ENTP
Jordan Peele,Entertainment,Sutradara Film,ENTP
Jordan Schlansky,Entertainment,Film & TV Crew,INTP
Jordan Scott,Entertainment,Model,ENFP
Jordana Vucetic,Entertainment,Model,ESFJ
Jordi Cruz Pérez,Entertainment,Pembawa Acara,ENFP
Jordi Évole,Entertainment,Pembawa Acara,INFJ
Jordyn Jones,Entertainment,Aktor/Aktres,ESFP
Joren Seldeslachts,Entertainment,Aktor/Aktres,INFP
Jörg Pilawa,Entertainment,Pembawa Acara,ESFJ
Jorge Corrula,Entertainment,Aktor/Aktres,ESFP
Jorge del Rio,Entertainment,Model,ISFP
Jorge Enrique Abello,Entertainment,Aktor/Aktres,ESTP
Jorge Fernando,Entertainment,Aktor/Aktres,ENFP
Jorge Garcia,Entertainment,Aktor/Aktres,ESFP
Jorge Lafond,Entertainment,Komedian,ENTJ
Jorge López,Entertainment,Aktor/Aktres,ENTP
Jorge Lordello,Entertainment,Pembawa Acara,ESFJ
Jorge Maronna,Entertainment,Aktor/Aktres,ISTJ
Jorge Ponce,Entertainment,Komedian,ENTP
Jorma Taccone,Entertainment,Aktor/Aktres,ENFJ
José Carlos Guridi (Yayo),Entertainment,Komedian,ENTP
José Daniel (JDaniel),Entertainment,Komedian,ENTP
José de Abreu,Entertainment,Aktor/Aktres,ESTP
José Eduardo Derbez,Entertainment,Aktor/Aktres,ESTP
José Fidalgo,Entertainment,Aktor/Aktres,ESTP
José Loreto,Entertainment,Aktor/Aktres,ESTP
José Luis Garci,Entertainment,Sutradara Film,ENTP
José Luis Manzano,Entertainment,Aktor/Aktres,ISFP
José Luis Slobotzky,Entertainment,Komedian,ESTP
José Mayer,Entertainment,Aktor/Aktres,ISTP
José Miguel Monzón (“el Gran Wyoming”),Entertainment,Pembawa Acara,ENTP
José Miguel Viñuela,Entertainment,Pembawa Acara,ESTP
José Mota,Entertainment,Aktor/Aktres,ENFP
José Padilha,Entertainment,Sutradara Film,INTJ
José Ramón Quintanilla (JR INN),Entertainment,Komedian,ENFP
José Sacristán,Entertainment,Aktor/Aktres,INTP
"Jose Salazar ""PepeProblemas""",Entertainment,Komedian,ENTP
José Wilker,Entertainment,Aktor/Aktres,ENFJ
Josef von Sternberg,Entertainment,Sutradara Film,ISFP
Joseph “Joe” Walker,Entertainment,Aktor/Aktres,ENFJ
Joseph Fiennes,Entertainment,Aktor/Aktres,INFJ
Joseph Gordon-Levitt,Entertainment,Aktor/Aktres,INFP
Joseph Mazzello,Entertainment,Aktor/Aktres,ESFP
Joseph Morgan,Entertainment,Aktor/Aktres,ESFJ
Joseph Pelling,Entertainment,Sutradara Film,ISTP
Joseph Quinn,Entertainment,Aktor/Aktres,INFP
Joseph Reyes,Entertainment,Film & TV Crew,INFP
Josephine Langford,Entertainment,Aktor/Aktres,ISFJ
Josephine Skriver,Entertainment,Model,ISTJ
Josey Montana McCoy,Entertainment,Pengisi Suara,ESFJ
Josh Brener,Entertainment,Aktor/Aktres,INTP
Josh Brolin,Entertainment,Aktor/Aktres,ISTJ
Josh Dallas,Entertainment,Aktor/Aktres,ESFJ
Josh Duhamel,Entertainment,Aktor/Aktres,ENTJ
Josh Gad,Entertainment,Aktor/Aktres,ENFP
Josh Hutcherson,Entertainment,Aktor/Aktres,ENFP
Josh Johnson,Entertainment,Komedian,INTP
Josh Keaton,Entertainment,Pengisi Suara,ENFP
Josh McDermitt,Entertainment,Aktor/Aktres,INFP
Josh O’Connor,Entertainment,Aktor/Aktres,ENFP
Josh Ovalle,Entertainment,Sutradara Film,ENTP
Josh Peck,Entertainment,Aktor/Aktres,ENTP
Josh Radnor,Entertainment,Aktor/Aktres,INFJ
Josh Safdie,Entertainment,Sutradara Film,ENFP
Josh Stewart,Entertainment,Aktor/Aktres,ISTP
Josh Thomas,Entertainment,Komedian,ENTP
Josh Tomar,Entertainment,Pengisi Suara,INFP
Josh Trank,Entertainment,Sutradara Film,INTP
Josh Widdicombe,Entertainment,Komedian,ISFP
Josh Wolf,Entertainment,Komedian,ESTP
Joshua Bassett,Entertainment,Aktor/Aktres,ESFP
Joshua Rush,Entertainment,Aktor/Aktres,ENTP
Josie Totah,Entertainment,Aktor/Aktres,ISFP
Joss Whedon,Entertainment,Film & TV Crew,ENFP
Joy Behar,Entertainment,Pembawa Acara,ENTP
Joy Sunday,Entertainment,Aktor/Aktres,ESTJ
Ju Jingyi,Entertainment,Aktor/Aktres,ISFJ
Juan Antonio Bayona,Entertainment,Sutradara Film,INTP
Juan Pablo Romo (Juanpy),Entertainment,Sutradara Film,INTP
Juanra Bonet,Entertainment,Pembawa Acara,INTP
Juca de Oliveira,Entertainment,Aktor/Aktres,ENFJ
Judah Lewis,Entertainment,Aktor/Aktres,INFJ
Judd Hirsch,Entertainment,Aktor/Aktres,ESTJ
Jude Law,Entertainment,Aktor/Aktres,INFP
Judge Cristina Perez,Entertainment,Pembawa Acara,INFJ
Judge Judy,Entertainment,Pembawa Acara,ESTJ
Judge Lauren Lake,Entertainment,Pembawa Acara,ENTJ
Judge Mathis,Entertainment,Pembawa Acara,INTJ
Judge Rinder,Entertainment,Pembawa Acara,ENFJ
Judi Dench,Entertainment,Aktor/Aktres,ESTP
Judite Sousa,Entertainment,Pembawa Acara,INFJ
Judith Barsi,Entertainment,Aktor/Aktres,ESFP
Judy Garland,Entertainment,Industri Film,ISFP
Judy Greer,Entertainment,Aktor/Aktres,INTP
Julia Albain,Entertainment,Aktor/Aktres,INFJ
Júlia Alvarenga,Entertainment,Komedian,ENFP
Julia Barretto,Entertainment,Aktor/Aktres,ISFP
Julia Butters,Entertainment,Aktor/Aktres,ESFJ
Julia Ducournau,Entertainment,Sutradara Film,ISFP
Júlia Feldens,Entertainment,Aktor/Aktres,ISFP
Julia Fox,Entertainment,Aktor/Aktres,INTP
Julia Gama,Entertainment,Model,ESFJ
Julia Garner,Entertainment,Aktor/Aktres,ENFP
Julia Grande,Entertainment,Aktor/Aktres,ESFJ
Julia Lester,Entertainment,Aktor/Aktres,ESFP
Julia Louis-Dreyfus,Entertainment,Aktor/Aktres,ENFP
Julia Montes,Entertainment,Aktor/Aktres,ISFJ
Júlia Pinheiro,Entertainment,Pembawa Acara,ENFJ
Julia Rehwald,Entertainment,Aktor/Aktres,ISFP
Julia Roberts,Entertainment,Aktor/Aktres,INFP
Julia Stiles,Entertainment,Aktor/Aktres,INTJ
Julia Wieniawa,Entertainment,Aktor/Aktres,ENFJ
Julián Arango,Entertainment,Aktor/Aktres,INTP
Julian Barratt,Entertainment,Komedian,INTP
Julian Dennison,Entertainment,Aktor/Aktres,ENFP
Julián Elfenbein,Entertainment,Pembawa Acara,ENTP
Julián Gil,Entertainment,Aktor/Aktres,ESTP
Julián Weich,Entertainment,Pembawa Acara,ESTJ
Juliana,Entertainment,Film & TV Crew,ISFP
Juliana Paes,Entertainment,Aktor/Aktres,ESFJ
Juliana Paiva,Entertainment,Aktor/Aktres,ESFJ
Julianne Moore,Entertainment,Aktor/Aktres,INFJ
Julie Andrews,Entertainment,Industri Film,INFJ
Julie Ann Taylor,Entertainment,Pengisi Suara,ESFJ
Julie Anne San Jose,Entertainment,Aktor/Aktres,ISFP
Julie Bowen,Entertainment,Aktor/Aktres,ESFJ
Julie Christie,Entertainment,Industri Film,INFP
Julie Delpy,Entertainment,Aktor/Aktres,INFP
Julie Dreyfus,Entertainment,Aktor/Aktres,INTJ
Julie Estelle,Entertainment,Aktor/Aktres,ESFJ
Julie McNiven,Entertainment,Aktor/Aktres,ISFJ
Julie Plec,Entertainment,Film & TV Crew,ENFP
Julie Walters,Entertainment,Aktor/Aktres,ESFP
Julien Courbet,Entertainment,Pembawa Acara,ESFJ
Juliette Binoche,Entertainment,Aktor/Aktres,INFP
Juliette Lewis,Entertainment,Aktor/Aktres,ESFP
Júlio Bressane,Entertainment,Sutradara Film,ENFP
Julio Cesar Rodriguez,Entertainment,Pembawa Acara,ENTP
Julio Rocha,Entertainment,Aktor/Aktres,ISTP
Julio Torres,Entertainment,Komedian,INTP
Julito El Niño Angelical,Entertainment,Komedian,ESTP
Jun Fukuyama,Entertainment,Pengisi Suara,ISTP
Jun Ji-hyun,Entertainment,Aktor/Aktres,ISTP
Jun Shison,Entertainment,Aktor/Aktres,ENFJ
Jun’ichi Suwabe,Entertainment,Pengisi Suara,ENTP
Jun’ya Enoki,Entertainment,Pengisi Suara,ISTJ
June Foray,Entertainment,Pengisi Suara,ESFJ
Jung Ga-ram,Entertainment,Aktor/Aktres,ISFJ
Jung Hae In,Entertainment,Aktor/Aktres,INFJ
Jung Ji Yoon,Entertainment,Aktor/Aktres,ISFP
Jung Kyung-ho,Entertainment,Aktor/Aktres,ISFJ
Jung So-min,Entertainment,Aktor/Aktres,INFJ
Jung Woo-sung,Entertainment,Aktor/Aktres,ENFJ
Jung Yu-mi,Entertainment,Aktor/Aktres,ISFJ
Junichi Okada,Entertainment,Aktor/Aktres,INTJ
Juno Temple,Entertainment,Aktor/Aktres,ISFP
Junot,Entertainment,Aktor/Aktres,ENFJ
Juraj Kemka,Entertainment,Aktor/Aktres,ESFP
Jürgen Prochnow,Entertainment,Aktor/Aktres,INTJ
Jurnee Smollett,Entertainment,Aktor/Aktres,ESFJ
Jussie Smollett,Entertainment,Aktor/Aktres,ESFP
Justice Smith,Entertainment,Aktor/Aktres,INFP
Justin Baldoni,Entertainment,Aktor/Aktres,ENFJ
Justin Berfield,Entertainment,Aktor/Aktres,ISTP
Justin Briner,Entertainment,Pengisi Suara,INFJ
Justin Chambers,Entertainment,Aktor/Aktres,INFP
Justin H. Min,Entertainment,Aktor/Aktres,INFJ
Justin Hartley,Entertainment,Aktor/Aktres,ENFJ
Justin Long,Entertainment,Aktor/Aktres,ENFP
Justin Theroux,Entertainment,Aktor/Aktres,ENFP
Justin Willman,Entertainment,Pembawa Acara,ENTP
Justina Machado,Entertainment,Aktor/Aktres,ESFJ
Justine Bateman,Entertainment,Aktor/Aktres,INTJ
Kaan Kural,Entertainment,Pembawa Acara,ENTP
Kaan Mirac Sezen,Entertainment,Aktor/Aktres,ESTP
Kaan Sezyum,Entertainment,Komedian,INTP
Kaan Urgancıoğlu,Entertainment,Aktor/Aktres,ISTP
Kabir Bedi,Entertainment,Aktor/Aktres,INFJ
Kacey Rohl,Entertainment,Aktor/Aktres,INFP
Kadir Doğulu,Entertainment,Aktor/Aktres,ENFP
Kaede Hondo,Entertainment,Pengisi Suara,ISFJ
Kaia Gerber,Entertainment,Model,ISFJ
Kaiji Tang,Entertainment,Pengisi Suara,ENTP
Kaitlin Olson,Entertainment,Aktor/Aktres,ESFP
Kaitlyn Dever,Entertainment,Aktor/Aktres,INFP
Kaitlyn Robrock,Entertainment,Pengisi Suara,ENFP
Kaito Ishikawa,Entertainment,Pengisi Suara,ENFJ
Kajol,Entertainment,Aktor/Aktres,ENFP
Kal Penn,Entertainment,Aktor/Aktres,INTP
Kaley Cuoco,Entertainment,Aktor/Aktres,ESFP
Kalina Jędrusik,Entertainment,Aktor/Aktres,ESFP
Kalki Koechlin,Entertainment,Aktor/Aktres,ENFP
Kamal Haasan,Entertainment,Aktor/Aktres,ENTP
Kambiz Dirbaz,Entertainment,Aktor/Aktres,ENFP
Kamie Crawford,Entertainment,Pembawa Acara,ENTP
Kamil Durczok,Entertainment,Pembawa Acara,ESTP
Kan Qingzi,Entertainment,Aktor/Aktres,ESFP
Kana Hanazawa,Entertainment,Pengisi Suara,INFJ
Kana Ueda,Entertainment,Pengisi Suara,ESFJ
Kanako Takatsuki,Entertainment,Pengisi Suara,ENFP
Kanata Hongo,Entertainment,Aktor/Aktres,INTJ
Kane Hodder,Entertainment,Aktor/Aktres,INFJ
Kane Jungbluth-Murry,Entertainment,Pengisi Suara,ISTP
Kane Kosugi,Entertainment,Aktor/Aktres,ISFP
Kanel Joseph,Entertainment,Komedian,ENTP
Kang Ha-neul,Entertainment,Aktor/Aktres,INFJ
Kang Ki-young,Entertainment,Aktor/Aktres,ENTP
Kang Min-ah,Entertainment,Aktor/Aktres,INFJ
Kang Tae-oh,Entertainment,Aktor/Aktres,INFP
Kangana Ranaut,Entertainment,Aktor/Aktres,ISFP
Kanika Batra,Entertainment,Model,ESTP
Kanna Hashimoto,Entertainment,Aktor/Aktres,ENFP
Kanon Shizaki,Entertainment,Pengisi Suara,INFP
Kantemir Balagov,Entertainment,Sutradara Film,ISTJ
Kao Noppakao Dechaphatthanakun,Entertainment,Aktor/Aktres,INTJ
Kaori Maeda,Entertainment,Pengisi Suara,ESTP
Kapil Sharma,Entertainment,Komedian,ENTP
Kappei Yamaguchi,Entertainment,Pengisi Suara,ENTP
Kara Eberle,Entertainment,Pengisi Suara,ESFJ
Kara Lindsay,Entertainment,Aktor/Aktres,ENFP
Karamo Brown,Entertainment,Pembawa Acara,ENFJ
Karan Brar,Entertainment,Aktor/Aktres,ISFJ
Karan Johar,Entertainment,Sutradara Film,ESFJ
Karasawa Toshiaki,Entertainment,Aktor/Aktres,ESTP
Kareena Kapoor,Entertainment,Aktor/Aktres,ESFP
Karen Allen,Entertainment,Aktor/Aktres,ENFP
Karen Fukuhara,Entertainment,Aktor/Aktres,ENFP
Karen Gillan,Entertainment,Aktor/Aktres,INFP
