name,field,subcategory,mbti
Ahmed Mekky,Entertainment,Aktor/Aktres,ENFJ
Ahmed Zaki,Entertainment,Aktor/Aktres,INFJ
Ahmet Mümtaz Taylan,Entertainment,Aktor/Aktres,ISFJ
Ahn Hyo Seop,Entertainment,Aktor/Aktres,INTP
Ahn Jae-hyun,Entertainment,Aktor/Aktres,ESTP
Ahsen Eroğlu,Entertainment,Aktor/Aktres,ENFP
Ahsen Ünver,Entertainment,Aktor/Aktres,ENFJ
Ai Furihata,Entertainment,Pengisi Suara,ISFJ
Ai Hashimoto,Entertainment,Aktor/Aktres,INTP
Ai Kakuma,Entertainment,Pengisi Suara,INFP
Ai Kayano,Entertainment,Pengisi Suara,ESFJ
Ai Nonaka,Entertainment,Pengisi Suara,ESFP
Ai Yoshikawa,Entertainment,Aktor/Aktres,INFP
Aiba Aina,Entertainment,Pengisi Suara,ESFP
Aidan Gallagher,Entertainment,Aktor/Aktres,ENTJ
Aidan Gillen,Entertainment,Aktor/Aktres,INTP
Aidy Bryant,Entertainment,Aktor/Aktres,ENFP
Aika Kobayashi,Entertainment,Pengisi Suara,ESTP
Aílton Graça,Entertainment,Aktor/Aktres,ESFP
Aimee Carrero,Entertainment,Pengisi Suara,ENFP
Aimee Garcia,Entertainment,Aktor/Aktres,ENTP
Aimee Lou Wood,Entertainment,Aktor/Aktres,ENFP
Aimi,Entertainment,Pengisi Suara,ENFJ
Aimi Kash,Entertainment,Model,INFP
Aina Kusuda,Entertainment,Pengisi Suara,ISFP
Aina Suzuki,Entertainment,Pengisi Suara,ESFP
Ainsley Earhardt,Entertainment,Pembawa Acara,ESFJ
Aishwarya Rai,Entertainment,Aktor/Aktres,INFJ
Aisling Bea,Entertainment,Aktor/Aktres,ENTP
Aj (wonderland system),Entertainment,Komedian,INFP
AJ Bowen,Entertainment,Aktor/Aktres,ISFJ
AJ Michalka,Entertainment,Aktor/Aktres,ENFJ
AJ Raval,Entertainment,Aktor/Aktres,ESFP
Ajay Devgn,Entertainment,Aktor/Aktres,ISTP
Ajith Kumar,Entertainment,Aktor/Aktres,ISTP
Akaash Singh,Entertainment,Komedian,ENTJ
Akari Kitō,Entertainment,Pengisi Suara,ISFP
Akash Kumar,Entertainment,Model,ISFP
Akeno Watanabe,Entertainment,Pengisi Suara,ENFP
Aki Kaurismäki,Entertainment,Sutradara Film,INFP
Aki Toyosaki,Entertainment,Pengisi Suara,ENFP
Akio Ōtsuka,Entertainment,Pengisi Suara,ISFP
Akira Ishida,Entertainment,Pengisi Suara,INTP
Akira Kurosawa,Entertainment,Sutradara Film,INFJ
Akiva Schaffer,Entertainment,Aktor/Aktres,INTP
Akom Preedakul (Kom Chuanchuen),Entertainment,Komedian,ESFP
Akshay Kumar,Entertainment,Aktor/Aktres,ISTJ
Al Ghazali,Entertainment,Aktor/Aktres,ESTJ
Al Jolson,Entertainment,Industri Film,ESFP
Al Pacino,Entertainment,Aktor/Aktres,INFJ
Alain Chabat,Entertainment,Aktor/Aktres,ENFP
Alain Delon,Entertainment,Aktor/Aktres,ISTP
Alain Resnais,Entertainment,Sutradara Film,INTP
Alain Robbe-Grillet,Entertainment,Sutradara Film,INTJ
Alan Alda,Entertainment,Aktor/Aktres,ENFJ
Alan Arkin,Entertainment,Aktor/Aktres,INFP
Alan Carr,Entertainment,Komedian,ENFP
Alan Clarke,Entertainment,Sutradara Film,ENFP
Alan Cumming,Entertainment,Aktor/Aktres,ENFP
Alan Davies,Entertainment,Komedian,ISFP
Alan Estrada,Entertainment,Aktor/Aktres,ENFJ
Alan Parker,Entertainment,Sutradara Film,ENFJ
Alan Resnick,Entertainment,Komedian,ENFP
Alan Rickman,Entertainment,Aktor/Aktres,INFJ
Alan Ruck,Entertainment,Aktor/Aktres,ISFJ
Alan Schmuckler,Entertainment,Aktor/Aktres,ESTP
Alan Taylor,Entertainment,Sutradara Film,ISTJ
Alan Thicke,Entertainment,Aktor/Aktres,ESFJ
Alan Tudyk,Entertainment,Aktor/Aktres,ENTP
Alana Champion,Entertainment,Model,ESFP
Alana de la Garza,Entertainment,Aktor/Aktres,ENFJ
Alanis Guillen,Entertainment,Aktor/Aktres,ISFP
Alanna Arrington,Entertainment,Model,INTJ
Alanna Masterson,Entertainment,Aktor/Aktres,INFP
Alba Baptista,Entertainment,Aktor/Aktres,INFJ
Alba Flores,Entertainment,Aktor/Aktres,INFP
Alba Parietti,Entertainment,Pembawa Acara,ESFP
Albert Brooks,Entertainment,Aktor/Aktres,INFJ
Albert Finney,Entertainment,Industri Film,ENTP
"Albert R. ""Cubby"" Broccoli",Entertainment,Film & TV Crew,ENTJ
Alberto Angela,Entertainment,Pembawa Acara,ENFJ
Alberto Matano,Entertainment,Pembawa Acara,ISFJ
Alberto Rosende,Entertainment,Aktor/Aktres,ENFP
Alda D’Eusanio,Entertainment,Pembawa Acara,ESTP
Alden Ehrenreich,Entertainment,Aktor/Aktres,ESFP
Alden Richards,Entertainment,Aktor/Aktres,ISFJ
Aldis Hodge,Entertainment,Aktor/Aktres,ENTP
Aldo Baglio,Entertainment,Aktor/Aktres,ESFP
Alec Baldwin,Entertainment,Aktor/Aktres,ESTJ
Alec Utgoff,Entertainment,Aktor/Aktres,INFP
Alejandra “Jani” Dueñas,Entertainment,Pembawa Acara,ENTP
Alejandro Fantino,Entertainment,Pembawa Acara,ESTP
Alejandro González-Iñárritu,Entertainment,Sutradara Film,ENFP
Alejandro Jodorowsky,Entertainment,Sutradara Film,ENFP
Alejandro Saab / KaggyFilms,Entertainment,Pengisi Suara,ENFP
Aleks Le,Entertainment,Pengisi Suara,ISFP
Aleksander Petrov,Entertainment,Aktor/Aktres,ESFJ
Aleksandr Revva,Entertainment,Komedian,ESTP
Aleksandr Zubarev (Zubareff),Entertainment,Komedian,ENTP
Aleksei Kravchenko,Entertainment,Aktor/Aktres,INFJ
Aleksey Panin,Entertainment,Aktor/Aktres,ESFP
Alessandra Ambrosio,Entertainment,Model,ESTP
Alessandra Negrini,Entertainment,Aktor/Aktres,ENFJ
